featureid	Intercept	meteor_season[T.spring]	meteor_season[T.summer]	meteor_season[T.winter]	bbp_anomaly[T.TRUE]
00209d7dba19b5717e9aeff467833ecb	-0.40909769058540135	-0.7873153558974595	-0.9615900771842778	-0.835853495593355	-0.8379204800391129
003c41ecaafad6b52fa31f6aacbf13c8	7.13511274337456	-2.4916156402831406	-5.401701237462598	-2.666072525973604	-0.28858386781453405
00a12383e2614b1e679384336a4054e5	-0.33623295694902033	-0.01703177607110451	0.6087540132774532	-0.663799145217224	0.34482998344660576
00e5c76aad5150a5e6f240ecfc234a3e	-0.6601403844387796	-0.4273755422835679	-0.37564083506925705	0.33528824806661905	0.4463848540520745
00f6fedfaea23f7938147dd39b9217a3	-0.840990651849058	-0.24189733183434914	-0.28570743968351486	-0.3662737095311144	-0.3265972664618406
0110181511281a8d4ab3b4be967a4007	-0.6879061353237876	0.20653666341253896	-0.34588011672361496	-0.47967667221574395	0.12079477998972621
014ca887fb3411888f4b897befb20fa2	-0.4065755798792061	-0.4371094576125474	0.22811970541612503	-0.08433012008218377	-0.023139946725361682
01671856b6aad0022ba340a1dcf152db	-0.840990651849058	-0.24189733183434914	-0.28570743968351486	-0.3662737095311144	-0.3265972664618406
01946eea13abf14f9c54d1b73241a4f8	0.6989682722060433	1.1239462026352554	-0.8666992889867604	1.4334929800078422	0.14598286840677943
01a48a1702168f49d3196e6b335e8d53	-0.5451805633337763	-0.3188354245429368	-0.35387888123853806	0.1009192085310966	-0.480023764636508
01bc95abaa9dcd080af79b024cf420cc	-0.840990651849058	-0.24189733183434914	-0.28570743968351486	-0.3662737095311144	-0.3265972664618406
01d3fa3d633b09fe7feb9830e09536b8	0.2963213133780691	-0.584474416733296	-0.038806463979323524	0.9835599279448539	-1.0899181297087601
01e23dd2b0235d8a56378bfa9870f22c	-0.5072457683117655	-0.4006728104358048	-0.39353575875623825	0.3622318124815971	-0.06730943229436193
0262ea1c54b45933d0747277a4fa1427	0.08240921377823085	-0.02798865950158458	-0.5519959585891563	0.6793799018904716	-0.9575668951535157
0273c023d04e7a844a701f525ce991ed	3.2729270267455313	-0.40389748132279824	1.91549894640581	-0.16561899423150628	0.024873680803782605
0299d1ce2f8a53279cdc3f6f1605bdb4	0.6692261505095711	0.8816107639069237	-0.8201952235923589	1.131443581585601	-0.29101150539158915
02a00c5d67d952d2bac74472158b7b6a	-0.6736149084599283	0.21596707189032127	-0.3464234726653874	-0.4801781856968841	0.1310074994301873
02e126adb09dcb5c052380492b5c2d38	-0.840990651849058	-0.24189733183434914	-0.28570743968351486	-0.3662737095311144	-0.3265972664618406
02e6d2fc07a21efc952645510a176a99	-0.5784477633269098	0.08586103999563743	-0.39708867242200974	-0.069667556281372	0.47233170959711845
02edf482bfc9f2cf722b996793dbf9a0	-0.840990651849058	-0.24189733183434914	-0.28570743968351486	-0.3662737095311144	-0.3265972664618406
